Parameter,Value
1,0.06
50,0.16
101,0.26
152,0.35
203,0.43
253,0.52
304,0.61
354,0.69
406,0.77
457,0.84
507,0.92
558,0.99
608,1.07
660,1.14
710,1.21
761,1.28
811,1.35
862,1.42
912,1.49
964,1.55
1014,1.61
1065,1.67
1115,1.73
1166,1.8
1217,1.86
1268,1.91
1318,1.96
1369,2.02
1419,2.07
1471,2.13
1521,2.18
1572,2.23
1622,2.28
1673,2.34
1723,2.38
1775,2.43
1826,2.48
1876,2.53
1927,2.57
1977,2.61
2029,2.66
2079,2.7
2130,2.74
2180,2.78
2231,2.83
2282,2.86
2333,2.9
2383,2.94
2434,2.98
2484,3.02
2536,3.05
2586,3.08
2637,3.12
2687,3.15
2738,3.19
2788,3.22
2840,3.25
2890,3.28
2941,3.31
2991,3.34
3042,3.37
3094,3.41
3144,3.43
3195,3.46
3245,3.49
3296,3.51
3347,3.54
3398,3.56
3448,3.6
3499,3.62
3549,3.65
3600,3.67
3651,3.69
3702,3.71
3752,3.74
3803,3.76
3853,3.78
3905,3.8
3955,3.82
4006,3.85
4056,3.88
4107,3.89
4158,3.91
4209,3.92
4260,3.94
4310,3.96
4361,3.98
4411,4.0
4463,4.02
4513,4.04
4564,4.05
4614,4.07
4665,4.09
4716,4.11
4767,4.13
4818,4.13
4868,4.15
4919,4.17
4970,4.18
5021,4.19
5071,4.21
5122,4.23
5173,4.24
5224,4.26
5275,4.26
5325,4.27
5376,4.29
5426,4.31
5477,4.32
5528,4.33
5579,4.34
5630,4.35
5680,4.36
5731,4.37
5782,4.38
5833,4.4
5883,4.4
5934,4.42
5985,4.42
6036,4.44
6087,4.44
6137,4.45
6188,4.47
6238,4.48
6290,4.49
6341,4.49
6391,4.5
6442,4.51
6492,4.52
6543,4.53
6594,4.54
6645,4.54
6695,4.55
6746,4.56
6797,4.57
6848,4.57
6899,4.58
6949,4.59
7000,4.59
7050,4.6
7102,4.61
7153,4.62
7203,4.62
7254,4.63
7304,4.64
7355,4.64
7406,4.65
7457,4.65
7508,4.66
7558,4.66
7609,4.67
7660,4.68
7711,4.68
7761,4.69
7812,4.7
7862,4.7
7914,4.71
7965,4.71
8015,4.71
8066,4.72
8116,4.72
8168,4.73
8218,4.73
8269,4.74
8320,4.74
8370,4.75
8421,4.76
8472,4.76
8523,4.77
8573,4.77
8624,4.78
8675,4.78
8726,4.78
8777,4.78
8827,4.78
8878,4.78
8928,4.79
8980,4.79
9030,4.79
9081,4.8
9132,4.8
9182,4.81
9234,4.81
9284,4.81
9335,4.81
9385,4.82
9436,4.82
9487,4.83
9538,4.83
9589,4.83
9639,4.84
9690,4.84
9740,4.84
9792,4.84
9843,4.84
9893,4.85
9944,4.85
9994,4.85
10046,4.85
10096,4.85
10147,4.85
10197,4.86
10248,4.86
10299,4.86
10350,4.87
10401,4.87
10451,4.87
10502,4.87
10552,4.88
10604,4.88
10655,4.88
10705,4.88
10756,4.88
10806,4.89
10858,4.89
10908,4.89
10959,4.9
11009,4.89
11060,4.9
11112,4.9
11162,4.89
11213,4.9
11263,4.9
11314,4.9
