Parameter,Value
11364,4.93
11415,4.83
11465,4.75
11516,4.65
11568,4.57
11618,4.48
11669,4.4
11719,4.31
11770,4.23
11821,4.16
11872,4.08
11923,4.0
11973,3.93
12024,3.86
12075,3.79
12126,3.72
12176,3.65
12227,3.58
12277,3.51
12329,3.46
12380,3.39
12430,3.32
12481,3.26
12531,3.2
12582,3.15
12633,3.08
12684,3.03
12735,2.98
12785,2.92
12836,2.87
12887,2.82
12938,2.77
12988,2.71
13039,2.66
13090,2.61
13141,2.57
13192,2.52
13242,2.47
13293,2.42
13343,2.39
13394,2.34
13445,2.3
13496,2.26
13547,2.21
13597,2.17
13648,2.13
13699,2.09
13750,2.06
13800,2.02
13851,1.98
13902,1.95
13953,1.91
14004,1.88
14054,1.85
14105,1.81
14155,1.78
14207,1.74
14258,1.72
14308,1.68
14359,1.65
14409,1.63
14460,1.6
14511,1.56
14562,1.54
14612,1.51
14663,1.48
14714,1.45
14765,1.43
14816,1.4
14866,1.38
14917,1.35
14967,1.32
15019,1.3
15070,1.28
15120,1.26
15171,1.23
15221,1.21
15273,1.19
15323,1.17
15374,1.15
15425,1.13
15475,1.1
15526,1.09
15577,1.07
15628,1.05
15678,1.03
15729,1.01
15779,0.99
15831,0.97
15882,0.96
15932,0.94
15983,0.93
16033,0.91
16085,0.89
16135,0.87
16186,0.86
16236,0.84
16287,0.83
16338,0.81
16389,0.8
16440,0.79
16490,0.77
16541,0.76
16591,0.74
16643,0.73
16693,0.71
16744,0.7
16795,0.69
16845,0.67
16897,0.67
16947,0.65
16998,0.64
17048,0.64
17099,0.62
17149,0.61
17201,0.6
17252,0.59
17302,0.57
17353,0.57
17403,0.56
17455,0.54
17505,0.54
17556,0.53
17606,0.52
17657,0.51
17709,0.5
17759,0.49
17810,0.48
17860,0.47
17911,0.46
17962,0.45
18013,0.44
18063,0.44
18114,0.43
18165,0.43
18215,0.42
18267,0.41
18317,0.41
18368,0.4
18418,0.39
18469,0.38
18520,0.38
18571,0.37
18622,0.36
18672,0.35
18723,0.35
18774,0.34
18825,0.33
18875,0.33
18926,0.32
18976,0.32
19028,0.31
19079,0.3
19129,0.3
19180,0.29
19230,0.29
19281,0.29
19332,0.27
19383,0.27
19434,0.27
19484,0.26
19535,0.26
19586,0.26
19637,0.25
19687,0.25
19738,0.24
19788,0.23
19840,0.24
19891,0.23
19941,0.23
19992,0.23
20042,0.22
20093,0.22
20144,0.21
20195,0.22
20245,0.21
20296,0.2
20347,0.2
20398,0.2
20449,0.19
20499,0.19
20550,0.18
20600,0.19
20652,0.18
20702,0.18
20753,0.17
20804,0.17
20854,0.16
20906,0.17
20956,0.17
21007,0.15
21057,0.15
21108,0.15
21158,0.15
21210,0.15
21261,0.15
21311,0.14
21362,0.14
21412,0.14
21464,0.14
21514,0.13
21565,0.13
21616,0.13
21666,0.12
21718,0.12
21768,0.12
21819,0.12
21869,0.11
21920,0.12
21970,0.11
22022,0.11
22073,0.11
22123,0.17
22174,0.1
22224,0.1
22276,0.1
22326,0.1
